city,neighborhood,rooms,price_mean,sq_m_mean,count,price_per_sq_m
תל אביב יפו,שפירא,1.5,3175.0,33.4,10,95.05988023952096
תל אביב יפו,שפירא,2.0,4375.0,48.333333333333336,12,90.51724137931033
תל אביב יפו,שפירא,2.5,4600.0,68.33333333333333,3,67.31707317073172
תל אביב יפו,שפירא,3.0,5387.5,78.125,8,68.96
תל אביב יפו,שפירא,3.5,7000.0,87.5,2,80.0
תל אביב יפו,שפירא,4.0,8100.0,103.57142857142857,7,78.20689655172414
תל אביב יפו,שפירא,5.0,7660.0,102.0,5,75.09803921568627
תל אביב יפו,"תכנית ל', למד",2.0,5950.0,50.0,1,119.0
תל אביב יפו,"תכנית ל', למד",3.0,8700.0,85.0,3,102.3529411764706
תל אביב יפו,"תכנית ל', למד",3.5,8500.0,85.0,1,100.0
תל אביב יפו,"תכנית ל', למד",4.0,10850.4375,119.625,16,90.7037617554859
תל אביב יפו,"תכנית ל', למד",4.5,12000.0,110.0,1,109.0909090909091
תל אביב יפו,"תכנית ל', למד",5.0,10544.0,129.8,25,81.23266563944529
תל אביב יפו,"תכנית ל', למד",6.0,18000.0,190.0,1,94.73684210526316
תל אביב יפו,תל ברוך,2.0,10000.0,70.0,1,142.85714285714286
תל אביב יפו,תל ברוך צפון,2.0,7425.0,73.0,4,101.71232876712328
תל אביב יפו,תל ברוך צפון,3.5,8875.0,90.5,4,98.06629834254143
תל אביב יפו,תל ברוך צפון,4.0,9875.0,107.5,4,91.86046511627907
תל אביב יפו,תל ברוך צפון,5.0,11500.0,140.0,3,82.14285714285714
תל אביב יפו,תל חיים,1.0,2800.0,25.0,1,112.0
תל אביב יפו,תל חיים,2.0,4900.0,40.0,1,122.5
תל אביב יפו,תל חיים,2.5,4900.0,62.5,2,78.4
תל אביב יפו,תל חיים,3.0,5625.0,76.83333333333333,6,73.21041214750542
תל אביב יפו,תל חיים,4.0,7178.75,95.25,8,75.36745406824147
תל אביב יפו,תל חיים,5.0,8650.0,184.0,2,47.01086956521739
